coin,side,limitPx,sz,oid,timestamp,origSz,check_time
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:47:46
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:47:46
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:48:01
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:48:01
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:48:01
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:48:01
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:48:16
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:48:16
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:48:16
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:48:16
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:48:31
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:48:31
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:48:31
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:48:31
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:48:46
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:48:46
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:48:46
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:48:46
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:49:01
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:49:01
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:49:01
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:49:01
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:49:17
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:49:17
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:49:17
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:49:17
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:49:32
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:49:32
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:49:32
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:49:32
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:49:47
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:49:47
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:49:47
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:49:47
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:50:02
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:50:02
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:50:02
